"","Population","iso3","location_name"
"1",38928341,"AFG","Afghanistan"
"2",2877800,"ALB","Albania"
"3",43851043,"DZA","Algeria"
"4",32866268,"AGO","Angola"
"5",45195777,"ARG","Argentina"
"6",2963234,"ARM","Armenia"
"7",10139175,"AZE","Azerbaijan"
"8",164689383,"BGD","Bangladesh"
"9",9449321,"BLR","Belarus"
"10",397621,"BLZ","Belize"
"11",12123198,"BEN","Benin"
"12",771612,"BTN","Bhutan"
"13",11673029,"BOL","Bolivia"
"14",3280815,"BIH","Bosnia and Herzegovina"
"15",2351625,"BWA","Botswana"
"16",212559409,"BRA","Brazil"
"17",6948445,"BGR","Bulgaria"
"18",20903278,"BFA","Burkina Faso"
"19",11890781,"BDI","Burundi"
"20",16718971,"KHM","Cambodia"
"21",26545864,"CMR","Cameroon"
"22",555988,"CPV","Cape Verde"
"23",4829764,"CAF","Central African Republic"
"24",16425859,"TCD","Chad"
"25",1439323774,"CHN","China"
"26",50882884,"COL","Colombia"
"27",869595,"COM","Comoros"
"28",5518092,"COG","Congo"
"29",5094114,"CRI","Costa Rica"
"30",26378275,"CIV","Cote d'Ivoire"
"31",11326616,"CUB","Cuba"
"32",89561404,"COD","Democratic Republic of the Congo"
"33",988002,"DJI","Djibouti"
"34",10847904,"DOM","Dominican Republic"
"35",17643060,"ECU","Ecuador"
"36",102334403,"EGY","Egypt"
"37",6486201,"SLV","El Salvador"
"38",1402985,"GNQ","Equatorial Guinea"
"39",3546427,"ERI","Eritrea"
"40",114963583,"ETH","Ethiopia"
"41",896444,"FJI","Fiji"
"42",2225728,"GAB","Gabon"
"43",3989175,"GEO","Georgia"
"44",31072945,"GHA","Ghana"
"45",17915567,"GTM","Guatemala"
"46",13132792,"GIN","Guinea"
"47",1967998,"GNB","Guinea-Bissau"
"48",786559,"GUY","Guyana"
"49",11402533,"HTI","Haiti"
"50",9904608,"HND","Honduras"
"51",1380004385,"IND","India"
"52",273523621,"IDN","Indonesia"
"53",83992953,"IRN","Iran"
"54",40222503,"IRQ","Iraq"
"55",2961161,"JAM","Jamaica"
"56",10203140,"JOR","Jordan"
"57",18776707,"KAZ","Kazakhstan"
"58",53771300,"KEN","Kenya"
"59",6524191,"KGZ","Kyrgyzstan"
"60",7275556,"LAO","Laos"
"61",6825442,"LBN","Lebanon"
"62",2142252,"LSO","Lesotho"
"63",5057677,"LBR","Liberia"
"64",6871287,"LBY","Libya"
"65",2083380,"MKD","Macedonia"
"66",27691019,"MDG","Madagascar"
"67",19129955,"MWI","Malawi"
"68",32365998,"MYS","Malaysia"
"69",540542,"MDV","Maldives"
"70",20250834,"MLI","Mali"
"71",4649660,"MRT","Mauritania"
"72",1271767,"MUS","Mauritius"
"73",128932753,"MEX","Mexico"
"74",3278292,"MNG","Mongolia"
"75",628062,"MNE","Montenegro"
"76",36910558,"MAR","Morocco"
"77",31255435,"MOZ","Mozambique"
"78",54409794,"MMR","Myanmar"
"79",2540916,"NAM","Namibia"
"80",29136808,"NPL","Nepal"
"81",6624554,"NIC","Nicaragua"
"82",24206636,"NER","Niger"
"83",206139587,"NGA","Nigeria"
"84",25778815,"PRK","North Korea"
"85",220892331,"PAK","Pakistan"
"86",5101416,"PSE","Palestine"
"87",4314768,"PAN","Panama"
"88",8947027,"PNG","Papua New Guinea"
"89",7132530,"PRY","Paraguay"
"90",32971846,"PER","Peru"
"91",109581085,"PHL","Philippines"
"92",19237682,"ROU","Romania"
"93",145934460,"RUS","Russian Federation"
"94",12952209,"RWA","Rwanda"
"95",16743930,"SEN","Senegal"
"96",8737370,"SRB","Serbia"
"97",7976985,"SLE","Sierra Leone"
"98",686878,"SLB","Solomon Islands"
"99",15893219,"SOM","Somalia"
"100",59308690,"ZAF","South Africa"
"101",11193729,"SSD","South Sudan"
"102",21413250,"LKA","Sri Lanka"
"103",43849269,"SDN","Sudan"
"104",586634,"SUR","Suriname"
"105",1160164,"SWZ","Swaziland"
"106",17500657,"SYR","Syria"
"107",9537642,"TJK","Tajikistan"
"108",59734213,"TZA","Tanzania"
"109",69799978,"THA","Thailand"
"110",2416664,"GMB","The Gambia"
"111",1318442,"TLS","Timor-Leste"
"112",8278737,"TGO","Togo"
"113",11818618,"TUN","Tunisia"
"114",84339067,"TUR","Turkey"
"115",6031187,"TKM","Turkmenistan"
"116",45741000,"UGA","Uganda"
"117",43733759,"UKR","Ukraine"
"118",33469199,"UZB","Uzbekistan"
"119",307150,"VUT","Vanuatu"
"120",28435943,"VEN","Venezuela"
"121",97338583,"VNM","Vietnam"
"122",29825968,"YEM","Yemen"
"123",18383956,"ZMB","Zambia"
"124",14862927,"ZWE","Zimbabwe"
