"","NCD","total_increment","total_life_year"
"1",1.2,6418333064.94659,10512479.6060667
"2",2.14,43655746231.9186,1602969.63724319
"3",2.3,1390790954674.21,19032274.3663635
"4",2.4,182248047249.066,67319403.400033
"5",2.5,110828102.392209,4199995.06366875
"6",2.6,362406949186.406,44122118.6647498
"7",2.7,39378833005.9971,24649085.5009847
"8",3.1,74331820151.6029,4193369.71469805
"9",3.2,277160454266.503,55908575.3212442
"10",3.3,65797884205.3586,5170612.36439757
"11",3.4,115881195064.932,2253411.99132688
"12",3.5,78329565468.2153,6570629.47804539
"13",4.1,50156981533.9438,2148533.09328719
"14",4.2,4087466702.06058,2299571.67422009
"15",4.3,1234868383.70905,583454.845591238
"16",4.4,12146921571.8578,565134.594091748
